"imaging_condition","operator","standardized_mean_window_level","standardized_mean_window_width"
"head_dwi_b0",3,63.7009946121713,114.61368231686
"head_dwi_b1000",3,69.4078567636012,128.463424158159
"head_dwi_b2000",3,67.2160582700479,126.883764258106
"head_flair",3,40.6163491351293,71.6649872547805
"head_mra",3,124.50797601489,231.622081052381
"head_mra_mip",3,68.9409335437373,109.967695197197
"head_t1",3,36.5209218225515,59.0498231696495
"head_t1_ce",3,44.5717870893224,78.0446368162952
"head_t1_vibe_ce",3,63.9817722411876,116.676486612732
"head_t2",3,60.8359177299462,100.064778176413
"head_t2star",3,69.5879401320429,107.982866490588
"knee_med_cor",3,59.9325545012226,119.573071105375
"knee_med_sag",3,68.1446327062163,116.621452633434
"knee_pd",3,63.3100764641677,103.9980044584
"knee_pd_fs_cor",3,65.459119809071,128.24513170642
"knee_pd_fs_sag",3,70.5788379480865,126.918243858053
"knee_t2_fs",3,67.662755502508,150.473446680982
"lspine_mip",3,70.7039864388962,88.2508833444588
"lspine_stir",3,67.3164500344787,135.944560809409
"lspine_t1",3,61.5309562266841,118.245944059413
"lspine_t1_tra",3,67.6912905145647,129.33776412801
"lspine_t2",3,71.473346866788,137.937524481371
"lspine_t2_3d",3,75.9707617835939,159.474768438151
"lspine_t2_tra",3,70.7782619780404,147.981334532928
"neck_adc",3,45.0275438902289,106.566613824887
"neck_b0",3,67.6363600083291,136.216349343002
"neck_b800",3,71.990695426222,152.042401005545
"neck_dixon_w",3,67.0271360748388,139.841399431288
"neck_dynamic",3,87.4623975477434,170.061297162059
"neck_dynamic_w",3,70.457807214994,131.827517788471
"neck_t1",3,59.2787878052168,105.507589523791
"neck_t1_fs_ce",3,67.1934199679492,124.090651218002
"neck_t2",3,60.9112869378972,113.881227325742
"neck_t2_stir",3,68.2446197410461,135.457291817678
"pelvis_adc",3,67.6249560700069,124.882454410534
"pelvis_dwi_b0",3,80.1227420586564,157.163239344075
"pelvis_dwi_b1000",3,106.34485373997,182.294157887689
"pelvis_dwi_b50",3,82.7894517291964,158.776718409197
"pelvis_dynamic",3,92.6403135129201,177.052083153186
"pelvis_t1",3,60.7809493760156,103.101694398455
"pelvis_t1_dixon_in",3,64.3478949280087,107.17539271875
"pelvis_t1_dixon_opp",3,61.9936634458528,118.433537767045
"pelvis_t1_dixon_sub",3,64.2819099266769,126.711300695658
"pelvis_t1_dixon_w",3,76.6620717918284,144.370499994946
"pelvis_t1_fs",3,72.3794934326476,138.854468400907
"pelvis_t2",3,63.5226311209217,119.679750051414
"prostate_adc",3,68.5733184704092,124.583669881878
"prostate_b1000",3,75.9590133731584,136.249291003741
"prostate_b2000",3,-732.765147955061,-161.533816718628
"prostate_b50",3,68.7225283433395,132.251619810781
"prostate_dynamic",3,74.2995897414743,121.415395022635
"prostate_t1",3,63.1492648672867,108.90400895449
"prostate_t1_fs_cor",3,74.2211368976995,149.657744983937
"prostate_t1_fs_tra",3,66.0148155682487,128.577587974739
"prostate_t2_cor",3,483.83723783388,103.950882799505
"prostate_t2_tra",3,68.4152075722019,127.079320049948
"prostate_t2_tra_fs",3,104.825507436251,199.392726911367
"thspine_mip",3,66.5413698050929,108.792801386878
"thspine_stir",3,72.1098632842614,140.460429505308
"thspine_t1",3,58.3684803210304,109.449055398559
"thspine_t1_tra",3,54.1164716924568,105.505511175106
"thspine_t2",3,58.2221217158643,116.50338854867
"thspine_t2_3d",3,65.2306392260822,129.979378319216
"thspine_t2_tra",3,63.5333965885155,131.345550002779
